# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.92
2                       5.81
4                      11.60
8                      23.61
16                     47.18
32                     94.06
64                    186.29
128                   369.31
256                   695.88
512                  1378.58
1024                 2583.98
2048                 4544.80
4096                 6976.73
8192                10065.19
16384               10689.45
32768               10895.31
65536               12058.35
131072              12199.39
262144              12271.29
524288              12308.75
1048576             12325.97
2097152             12335.89
4194304             12340.06
