# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.85
2                       5.71
4                      11.37
8                      22.85
16                     45.81
32                     91.15
64                    172.59
128                   353.10
256                   618.20
512                  1223.67
1024                 2428.87
2048                 4986.37
4096                 7198.73
8192                10567.61
16384               10582.15
32768               20476.37
65536               21905.60
131072              22540.92
262144              23033.35
524288              22958.08
1048576             23033.16
2097152             23228.20
4194304             23452.64
