# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       1.49
2                       1.49
4                       1.49
8                       1.49
16                      1.49
32                      1.61
64                      1.74
128                     1.79
256                     2.24
512                     2.34
1024                    2.81
2048                    3.16
4096                    3.81
8192                    3.87
16384                   5.44
32768                   6.92
65536                   9.60
131072                 15.49
262144                 16.33
524288                 27.59
1048576                50.56
2097152                96.50
4194304               185.48
