# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       1.34
2                       1.33
4                       1.34
8                       1.34
16                      1.34
32                      1.46
64                      1.55
128                     1.59
256                     2.10
512                     2.24
1024                    2.70
2048                    2.71
4096                    3.34
8192                    4.08
16384                   5.42
32768                   7.53
65536                  10.47
131072                 16.24
262144                 27.19
524288                 48.70
1048576                91.52
2097152               176.47
4194304               346.36
